基金代码,基金简称,基金成立日,修正基金成立日,成立年限,基金标签,投资类型(二级),基金经理(现任),基金公司,是否定期开放基金,管理费(%),托管费(%),申购赎回状态,基金规模(合计)
000045.OF,工银瑞信产业债A,2013/3/29,2013/3/29,8.93,平衡型,混合债券型二级基金,何秀红,工银瑞信基金,否,0.6,0.2,暂停大额申购|开放赎回,240.41
000047.OF,华夏双债增强A,2013/3/14,2013/3/14,8.98,激进型,混合债券型一级基金,柳万军,华夏基金,否,0.6,0.2,开放申购|开放赎回,30.03
000054.OF,鹏华双债增利,2013/3/13,2013/3/13,8.98,平衡型,混合债券型二级基金,"陈大烨,杨雅洁",鹏华基金,否,0.5,0.15,开放申购|开放赎回,49.68
000065.OF,国富焦点驱动灵活配置,2013/5/7,2013/5/7,8.83,激进型,灵活配置型基金,"赵晓东,刘怡敏,刘晓",国海富兰克林基金,否,0.9,0.25,暂停大额申购|开放赎回,9.89
000107.OF,富国稳健增强AB,2013/5/21,2013/5/21,8.79,平衡型,混合债券型二级基金,俞晓斌,富国基金,否,0.5,0.2,开放申购|开放赎回,63.59
000110.OF,金鹰元安A,2013/5/20,2017/6/6,8.79,激进型,偏债混合型基金,"林龙军,杨晓斌",金鹰基金,否,0.6,0.2,暂停大额申购|开放赎回,7.95
000121.OF,华夏永福A,2013/8/13,2013/8/13,8.56,激进型,偏债混合型基金,何家琪,华夏基金,否,0.9,0.2,开放申购|开放赎回,29.97
000122.OF,汇添富实业债A,2013/6/14,2013/6/14,8.72,稳健型,中长期纯债型基金,徐一恒,汇添富基金,否,0.3,0.1,开放申购|开放赎回,4.85
000143.OF,鹏华双债加利A,2013/5/27,2013/5/27,8.77,平衡型,混合债券型二级基金,王石千,鹏华基金,否,0.5,0.15,暂停大额申购|开放赎回,85.37
000149.OF,华安双债添利A,2013/6/14,2013/6/14,8.72,稳健型,混合债券型一级基金,"贺涛,朱才敏",华安基金,否,0.7,0.2,开放申购|开放赎回,1.35
000171.OF,易方达裕丰回报,2013/8/23,2013/8/23,8.53,平衡型,混合债券型二级基金,"张清华,张雅君",易方达基金,否,0.4,0.1,开放申购|开放赎回,410.77
000181.OF,景顺长城四季金利A,2013/7/30,2013/7/30,8.6,稳健型,混合债券型二级基金,彭成军,景顺长城基金,否,0.3,0.1,开放申购|开放赎回,17.19
000190.OF,中银新回报A,2015/7/17,2015/7/17,6.63,平衡型,灵活配置型基金,李建,中银基金,否,1.2,0.2,开放申购|开放赎回,45.23
000215.OF,广发趋势优选A,2013/9/11,2013/9/11,8.48,稳健型,灵活配置型基金,谭昌杰,广发基金,否,0.6,0.15,开放申购|开放赎回,67.73
000236.OF,工银月月薪定期支付A,2013/8/14,2013/8/14,8.56,平衡型,混合债券型二级基金,张洋,工银瑞信基金,否,0.7,0.2,开放申购|开放赎回,5.6
000314.OF,招商瑞丰A,2013/11/6,2013/11/6,8.33,平衡型,灵活配置型基金,王刚,招商基金,否,0.6,0.15,开放申购|开放赎回,16.71
000338.OF,鹏华双债保利,2013/9/18,2013/9/18,8.46,平衡型,混合债券型二级基金,王石千,鹏华基金,否,0.5,0.1,暂停大额申购|开放赎回,110.63
000367.OF,国泰安康定期支付A,2014/4/30,2014/4/30,7.85,平衡型,偏债混合型基金,王琳,国泰基金,否,0.9,0.25,暂停大额申购|开放赎回,9.4
000377.OF,上投摩根双债增利A,2013/12/11,2013/12/11,8.23,平衡型,混合债券型二级基金,"陈圆明,唐瑭",上投摩根基金,否,0.7,0.2,开放申购|开放赎回,1.03
000385.OF,景顺长城景颐双利A,2013/11/13,2013/11/13,8.31,平衡型,混合债券型二级基金,"董晗,李怡文",景顺长城基金,否,0.4,0.1,开放申购|开放赎回,480.13
000406.OF,汇添富双利增强A,2013/12/3,2013/12/3,8.25,平衡型,混合债券型二级基金,徐光,汇添富基金,否,0.4,0.1,开放申购|开放赎回,1.75
000436.OF,易方达裕惠回报,2013/12/17,2014/8/18,8.21,稳健型,偏债混合型基金,胡剑,易方达基金,是,0.4,0.1,暂停申购|暂停赎回,31.96
000463.OF,华商双债丰利A,2014/1/28,2014/1/28,8.1,稳健型,混合债券型二级基金,厉骞,华商基金,否,0.7,0.2,暂停申购|开放赎回,2.03
000502.OF,华富恒富18个月A,2017/11/22,2017/11/22,4.28,平衡型,混合债券型一级基金,姚姣姣,华富基金,是,0.6,0.1,暂停申购|暂停赎回,6.39
000507.OF,泰达宏利宏达A,2014/3/5,2014/3/5,8,激进型,偏债混合型基金,"师婧,宁霄",泰达宏利基金,否,0.6,0.25,开放申购|开放赎回,3.48
000572.OF,中银多策略A,2014/3/31,2014/3/31,7.93,平衡型,灵活配置型基金,李建,中银基金,否,1.5,0.25,开放申购|开放赎回,15.17
000573.OF,天弘通利,2014/3/14,2014/3/14,7.98,平衡型,灵活配置型基金,"金梦,王华",天弘基金,否,0.8,0.15,暂停大额申购|开放赎回,6.47
000590.OF,华安新活力,2014/4/1,2014/4/1,7.93,平衡型,灵活配置型基金,贺涛,华安基金,否,0.7,0.25,暂停大额申购|开放赎回,9.63
000664.OF,国联安通盈A,2014/6/13,2014/6/13,7.73,平衡型,灵活配置型基金,"薛琳,王欢",国联安基金,否,0.6,0.1,暂停大额申购|开放赎回,7.87
000708.OF,华安安享,2015/1/23,2015/1/23,7.11,稳健型,灵活配置型基金,郑可成,华安基金,否,0.7,0.25,暂停大额申购|开放赎回,3.4
000714.OF,诺安稳健回报A,2014/9/15,2014/9/15,7.47,平衡型,灵活配置型基金,"李玉良,郭晓晖",诺安基金,否,0.6,0.25,开放申购|开放赎回,3.45
000875.OF,建信稳定得利A,2014/12/2,2014/12/2,7.25,稳健型,混合债券型二级基金,黎颖芳,建信基金,否,0.7,0.2,开放申购|开放赎回,84.97
000932.OF,前海开源睿远稳健增利A,2015/1/14,2015/1/14,7.14,平衡型,偏债混合型基金,"刘静,董治国",前海开源基金,否,0.9,0.1,暂停大额申购|开放赎回,5.93
000973.OF,新华增盈回报,2015/1/16,2015/1/16,7.13,平衡型,混合债券型二级基金,"郑毅,王丹",新华基金,否,0.5,0.1,暂停大额申购|开放赎回,28.06
001001.OF,华夏债券AB,2002/10/23,2002/10/23,19.37,平衡型,混合债券型一级基金,何家琪,华夏基金,否,0.6,0.2,开放申购|开放赎回,30.06
001011.OF,华夏希望债券A,2008/3/10,2008/3/10,13.99,稳健型,混合债券型二级基金,何家琪,华夏基金,否,0.7,0.2,开放申购|开放赎回,39.15
001019.OF,兴业年年利,2015/2/12,2015/2/12,7.06,稳健型,中长期纯债型基金,丁进,兴业基金,是,0.4,0.1,暂停申购|暂停赎回,10.49
001035.OF,中银恒利半年,2015/1/30,2015/1/30,7.09,平衡型,混合债券型二级基金,李建,中银基金,是,0.6,0.2,暂停申购|暂停赎回,33.43
001067.OF,鹏华弘盛A,2015/2/25,2015/2/25,7.02,稳健型,灵活配置型基金,"王石千,方昶",鹏华基金,否,0.6,0.25,暂停大额申购|开放赎回,7.77
001086.OF,华富恒利A,2015/8/31,2015/8/31,6.51,激进型,混合债券型二级基金,张惠,华富基金,否,0.6,0.2,开放申购|开放赎回,3.42
001110.OF,中欧瑾泉A,2015/3/16,2015/3/16,6.97,平衡型,灵活配置型基金,"张跃鹏,余罗畅",中欧基金,否,0.6,0.15,暂停大额申购|开放赎回,7.39
001115.OF,广发聚安A,2015/3/25,2015/3/25,6.95,平衡型,偏债混合型基金,郎振东,广发基金,否,0.8,0.2,暂停大额申购|开放赎回,7.16
001122.OF,鹏华弘利A,2015/3/12,2015/3/12,6.98,平衡型,灵活配置型基金,李君,鹏华基金,否,0.6,0.25,暂停大额申购|开放赎回,7.5
