code,R1,R2,R3,R4,R5,R6,R7,R8,R9
000045.OF,2.95,10.27,2.5,2.95,28.52,28.5,28.52,1.14,3.11
000047.OF,8.67,9.26,4.14,8.67,20.19,20.18,20.19,5.35,8.56
000054.OF,7.09,10.76,2.96,7.09,25.28,25.28,25.29,5.39,7.2
000065.OF,5.11,9.94,3.69,5.12,22.48,22.48,22.48,3.14,5.21
000072.OF,8.6,14.69,3.14,8.6,25.46,25.45,25.46,3.5,8.49
000107.OF,4.26,6.62,2.65,4.26,24.75,24.74,24.75,2.09,4.26
000110.OF,9.01,25.8,3.15,9.01,26.21,26.21,26.21,4.86,9.02
000118.OF,4.87,12.18,1.88,4.87,22.6,22.59,22.6,1.98,4.82
000121.OF,6.1,10.94,4.01,6.09,27.53,27.53,27.53,3.33,6.1
000130.OF,8.44,12.18,3.99,8.44,25.23,25.22,25.23,6.25,8.43
000142.OF,9.11,14.91,6.13,9.1,24.52,24.52,24.52,5.74,9.17
000143.OF,5.13,6.69,3.91,5.13,25.93,25.93,25.93,3.27,5.14
000149.OF,3.97,4.48,2.15,3.97,26.05,26.06,26.05,1.93,3.98
000171.OF,5.11,8.94,3.1,5.11,30.49,30.48,30.49,2.66,5.02
000181.OF,12.33,16.95,9.13,12.33,21.45,21.46,21.46,7.68,12.3
000189.OF,5.39,11.08,4.06,5.39,26.85,26.84,26.85,2.58,5.5
000190.OF,4.05,5.46,2.26,4.05,32.29,32.21,32.23,2.56,4.12
000195.OF,7.41,9.36,4.09,7.41,28.79,28.8,28.81,4.07,7.45
000207.OF,12.82,16.28,7.22,12.82,27.12,27.22,27.12,10.76,12.91
000215.OF,2.27,3.92,1.17,2.28,32.85,32.88,32.96,0.53,2.27
000227.OF,8.09,11.56,5.49,8.09,21.88,22.03,21.98,4.34,8.1
000236.OF,4.74,6.53,1.93,4.75,28.23,28.23,28.23,2.77,4.75
000239.OF,11.28,15.79,6.64,11.28,26.21,26.2,26.27,9.11,11.27
000244.OF,9.71,9.87,3.4,9.69,23.63,23.61,23.63,8.54,9.79
000254.OF,17.98,24.34,6.5,17.99,18.68,18.71,18.71,15.08,18
000310.OF,9.88,25.81,3.72,9.88,31.3,31.29,31.3,6.97,9.89
000314.OF,4.55,6.58,3.03,4.55,28.51,28.51,28.51,1.88,4.49
000338.OF,4.15,5.3,2.32,4.15,29.21,29.18,29.19,2.92,4.17
000367.OF,5.06,16.28,2.93,5.06,27.36,27.36,27.36,3.13,5.04
000377.OF,6,6.79,4.21,5.99,28.36,28.35,28.36,4.5,5.99
000385.OF,4.84,7.78,3.67,4.84,30.45,30.47,30.51,2.48,4.82
000406.OF,8.92,10.19,5.23,8.92,29.36,29.35,29.36,4.32,8.91
000436.OF,3.07,5.62,1.79,3.07,28.15,28.13,28.15,1.56,3.15
000463.OF,3.95,8.46,1.63,3.93,34.63,34.63,34.63,2.56,4.04
000507.OF,7.65,14.05,4.34,7.64,26.31,26.31,26.31,3.68,7.62
000511.OF,4.31,10.77,3.15,4.32,29.19,29.2,29.21,2.5,4.29
000526.OF,4.56,6.52,1.82,4.56,23.3,23.3,23.3,1.87,4.56
000546.OF,5.76,9.37,3.57,5.76,20.9,20.89,20.9,3.92,5.76
000572.OF,5.16,9.63,3.11,5.16,30.01,30,30.01,3.33,5.2
000583.OF,8.24,21.02,5.83,8.24,30.44,30.42,30.44,6.46,8.27
000590.OF,7.88,16.61,6.51,7.88,22.09,22.1,22.13,3.97,7.84
000597.OF,6.67,12.29,3.5,6.67,25.49,25.48,25.49,2.99,6.69
000639.OF,13.9,26.88,8.02,13.89,33.7,33.35,33.5,5.52,13.92
000664.OF,12.29,17.14,5.54,12.28,26.6,26.6,26.6,6.05,12.26
000744.OF,10.73,13.58,6.27,10.73,20.6,20.66,20.66,3.53,10.73
000804.OF,13.61,11.93,8.35,13.61,26.35,26.22,26.2,6.07,13.56
000875.OF,6.31,10.05,3.54,6.31,20.41,20.41,20.41,3.84,6.32
000894.OF,3.92,12.02,1.65,3.93,27.9,27.9,27.91,2.29,3.82
000896.OF,9.39,15.44,6.71,9.38,26.65,26.64,26.64,7.02,9.41
000932.OF,9.81,15.21,3.9,9.8,25.63,25.51,25.63,6.42,9.78
000953.OF,5.29,11.86,3.95,5.29,31.27,31.26,31.27,3.4,5.25
000973.OF,5.59,7.09,2.95,5.59,22.8,22.8,22.8,4,5.66
001001.OF,7.23,11.83,5.61,7.23,22.91,22.89,22.9,4.11,7.16
001011.OF,5.52,7.44,2.96,5.52,23.63,23.63,23.63,2.67,5.56
001019.OF,5.71,7.75,2.23,5.71,21.45,21.42,21.45,3.89,5.72
001035.OF,3.65,3.55,1.57,3.65,32.04,32.06,32.07,2.36,3.67
001067.OF,2.55,4.01,1.24,2.55,32.32,32.32,32.32,1.58,2.64
001110.OF,8.13,11,4.09,8.13,31.17,31.18,31.19,4.8,8.15
001115.OF,7.13,9.57,4.72,7.13,31.46,31.48,31.53,3.29,7.16
001122.OF,3.16,7.46,2.17,3.17,23.13,23.12,23.13,1.53,3.17
001136.OF,4.41,6.05,2.63,4.41,27.81,27.79,27.81,3.1,4.43
001139.OF,9.98,18.59,8.03,9.98,22.1,22.1,22.1,5.44,10.04
001146.OF,8.52,14.11,4.71,8.53,26.61,26.56,26.58,5.74,8.59
001157.OF,5.76,11.27,3.28,5.76,25.12,25.11,25.12,3.5,5.72
001164.OF,3.79,9.92,2.2,3.79,26.63,26.63,26.63,1.96,3.82
