,R2,R3,R5,R6,R7,R8
000045.OF,10.27,2.5,28.52,28.5,28.52,1.14
000047.OF,9.26,4.14,20.19,20.18,20.19,5.35
000054.OF,10.76,2.96,25.28,25.28,25.29,5.39
000065.OF,9.94,3.69,22.48,22.48,22.48,3.14
000072.OF,14.69,3.14,25.46,25.45,25.46,3.5
000107.OF,6.62,2.65,24.75,24.74,24.75,2.09
000110.OF,25.8,3.15,26.21,26.21,26.21,4.86
000118.OF,12.18,1.88,22.6,22.59,22.6,1.98
000121.OF,10.94,4.01,27.53,27.53,27.53,3.33
000130.OF,12.18,3.99,25.23,25.22,25.23,6.25
000142.OF,14.91,6.13,24.52,24.52,24.52,5.74
000143.OF,6.69,3.91,25.93,25.93,25.93,3.27
000149.OF,4.48,2.15,26.05,26.06,26.05,1.93
000171.OF,8.94,3.1,30.49,30.48,30.49,2.66
000181.OF,16.95,9.13,21.45,21.46,21.46,7.68
000189.OF,11.08,4.06,26.85,26.84,26.85,2.58
000190.OF,5.46,2.26,32.29,32.21,32.23,2.56
000195.OF,9.36,4.09,28.79,28.8,28.81,4.07
000207.OF,16.28,7.22,27.12,27.22,27.12,10.76
000215.OF,3.92,1.17,32.85,32.88,32.96,0.53
000227.OF,11.56,5.49,21.88,22.03,21.98,4.34
000236.OF,6.53,1.93,28.23,28.23,28.23,2.77
000239.OF,15.79,6.64,26.21,26.2,26.27,9.11
000244.OF,9.87,3.4,23.63,23.61,23.63,8.54
000254.OF,24.34,6.5,18.68,18.71,18.71,15.08
000310.OF,25.81,3.72,31.3,31.29,31.3,6.97
000314.OF,6.58,3.03,28.51,28.51,28.51,1.88
000338.OF,5.3,2.32,29.21,29.18,29.19,2.92
000367.OF,16.28,2.93,27.36,27.36,27.36,3.13
000377.OF,6.79,4.21,28.36,28.35,28.36,4.5
000385.OF,7.78,3.67,30.45,30.47,30.51,2.48
000406.OF,10.19,5.23,29.36,29.35,29.36,4.32
000436.OF,5.62,1.79,28.15,28.13,28.15,1.56
000463.OF,8.46,1.63,34.63,34.63,34.63,2.56
000507.OF,14.05,4.34,26.31,26.31,26.31,3.68
