,R1,R4,R9
000045.OF,2.95,2.95,3.11
000047.OF,8.67,8.67,8.56
000054.OF,7.09,7.09,7.2
000065.OF,5.11,5.12,5.21
000072.OF,8.6,8.6,8.49
000107.OF,4.26,4.26,4.26
000110.OF,9.01,9.01,9.02
000118.OF,4.87,4.87,4.82
000121.OF,6.1,6.09,6.1
000130.OF,8.44,8.44,8.43
000142.OF,9.11,9.1,9.17
000143.OF,5.13,5.13,5.14
000149.OF,3.97,3.97,3.98
000171.OF,5.11,5.11,5.02
000181.OF,12.33,12.33,12.3
000189.OF,5.39,5.39,5.5
000190.OF,4.05,4.05,4.12
000195.OF,7.41,7.41,7.45
000207.OF,12.82,12.82,12.91
000215.OF,2.27,2.28,2.27
000227.OF,8.09,8.09,8.1
000236.OF,4.74,4.75,4.75
000239.OF,11.28,11.28,11.27
000244.OF,9.7,9.69,9.79
000254.OF,17.98,17.99,18.0
000310.OF,9.88,9.88,9.89
000314.OF,4.55,4.55,4.49
000338.OF,4.15,4.15,4.17
000367.OF,5.06,5.06,5.04
000377.OF,6.0,5.99,5.99
000385.OF,4.84,4.84,4.82
000406.OF,8.92,8.92,8.91
000436.OF,3.07,3.07,3.15
000463.OF,3.94,3.93,4.04
000507.OF,7.65,7.64,7.62
000511.OF,4.31,4.32,4.29
000526.OF,4.56,4.56,4.56
000546.OF,5.76,5.76,5.76
000572.OF,5.16,5.16,5.2
000583.OF,8.24,8.24,8.27
000590.OF,7.88,7.88,7.84
000597.OF,6.67,6.67,6.69
000639.OF,13.9,13.89,13.92
000664.OF,12.28,12.28,12.26
000744.OF,10.73,10.73,10.73
000804.OF,13.61,13.61,13.56
000875.OF,6.31,6.31,6.32
000894.OF,3.92,3.93,3.82
000896.OF,9.39,9.38,9.41
000932.OF,9.81,9.8,9.78
000953.OF,5.29,5.29,5.25
000973.OF,5.59,5.59,5.66
001001.OF,7.23,7.23,7.16
001011.OF,5.52,5.52,5.56
001019.OF,5.71,5.71,5.72
001035.OF,3.65,3.65,3.67
001067.OF,2.55,2.55,2.64
001110.OF,8.13,8.13,8.15
001115.OF,7.13,7.13,7.16
001122.OF,3.16,3.17,3.17
001136.OF,4.41,4.41,4.43
001139.OF,9.98,9.98,10.04
001146.OF,8.52,8.53,8.59
001157.OF,5.76,5.76,5.72
001164.OF,3.79,3.79,3.82
001172.OF,5.81,5.82,5.88
001182.OF,4.13,4.13,4.18
001183.OF,3.55,3.55,3.53
001189.OF,3.71,3.71,3.7
001190.OF,7.76,7.77,7.67
001194.OF,4.07,4.08,4.09
001196.OF,12.43,12.43,12.47
001199.OF,9.88,9.88,9.9
001201.OF,6.24,6.24,6.28
001202.OF,3.81,3.81,3.93
001203.OF,3.15,3.15,3.16
001228.OF,13.39,13.39,13.36
001235.OF,6.07,6.07,6.08
001249.OF,2.49,2.49,2.51
001257.OF,6.23,6.23,6.23
001265.OF,7.18,7.18,7.19
001282.OF,8.47,8.46,8.52
001285.OF,2.03,2.04,2.07
001289.OF,3.91,3.91,3.97
001309.OF,4.87,4.87,4.87
001311.OF,11.22,11.23,11.19
001312.OF,5.92,5.92,5.89
001314.OF,6.13,6.13,6.13
001316.OF,6.05,6.06,6.03
001324.OF,6.71,6.7,6.71
001329.OF,4.45,4.45,4.61
001331.OF,7.15,7.15,7.18
001334.OF,3.54,3.54,3.53
001335.OF,6.31,6.31,6.22
001336.OF,5.09,5.09,5.1
001342.OF,3.11,3.11,3.1
001355.OF,10.18,10.19,10.15
001358.OF,14.69,14.68,14.58
001362.OF,4.8,4.8,4.8
001367.OF,8.85,8.85,8.83
001370.OF,10.33,10.33,10.34
001399.OF,8.72,8.72,8.66
001402.OF,5.11,5.11,5.13
001405.OF,5.49,5.49,5.48
001415.OF,9.01,9.01,9.0
001418.OF,11.16,11.16,11.14
001422.OF,3.7,3.71,3.69
001427.OF,4.83,4.83,4.49
001433.OF,2.18,2.19,2.19
001441.OF,5.94,5.95,6.0
001443.OF,5.68,5.69,5.69
001447.OF,6.17,6.17,6.14
001453.OF,5.11,5.11,5.24
001464.OF,5.98,5.98,5.97
001470.OF,8.51,8.51,8.55
001485.OF,12.06,12.06,12.03
001488.OF,9.85,9.85,9.88
001499.OF,7.22,7.22,7.21
001506.OF,6.61,6.61,6.62
001522.OF,4.53,4.53,4.55
001524.OF,6.23,6.23,6.31
001530.OF,7.97,7.98,8.0
001562.OF,5.42,5.43,5.45
001566.OF,6.15,6.15,6.11
001570.OF,4.85,4.86,4.83
001596.OF,4.31,4.31,4.31
001633.OF,5.73,5.73,5.74
001635.OF,6.42,6.42,6.42
001664.OF,13.39,13.38,13.41
001688.OF,5.63,5.63,5.64
001710.OF,6.89,6.9,6.87
001720.OF,3.91,3.91,3.93
001721.OF,9.05,9.05,8.48
001745.OF,4.93,4.92,4.98
001747.OF,6.47,6.77,6.77
001755.OF,6.46,6.46,6.5
001756.OF,5.27,5.27,5.26
001765.OF,6.17,6.17,5.96
001800.OF,13.64,13.63,13.58
001802.OF,4.94,4.94,4.99
001806.OF,1.89,1.89,1.89
001817.OF,2.79,2.8,2.78
001835.OF,1.47,1.47,1.5
001850.OF,6.08,6.08,6.02
001862.OF,5.3,5.31,5.39
001901.OF,9.55,9.55,9.84
001903.OF,8.88,8.88,8.78
001905.OF,11.91,11.91,11.97
001922.OF,8.14,8.14,8.13
001939.OF,6.34,6.34,6.38
001945.OF,6.21,6.21,6.23
002000.OF,6.75,6.75,6.79
002005.OF,8.16,8.16,8.15
002006.OF,3.86,3.86,3.95
002009.OF,4.28,4.28,4.29
002015.OF,8.27,8.26,8.26
002018.OF,5.98,5.98,5.91
002025.OF,4.42,4.61,4.63
002027.OF,5.14,5.14,5.19
002049.OF,8.09,8.09,8.16
002054.OF,3.97,3.96,4.0
002057.OF,4.26,4.26,4.35
002065.OF,15.68,15.68,15.7
002087.OF,6.02,6.02,6.01
002111.OF,9.08,9.08,9.09
002116.OF,5.4,5.4,5.39
002120.OF,6.26,6.26,6.25
002134.OF,5.25,5.25,5.25
002156.OF,5.62,5.62,5.86
002161.OF,11.72,11.72,11.67
002222.OF,5.48,5.48,5.48
002227.OF,5.44,5.44,5.42
002254.OF,8.18,8.18,8.2
002261.OF,8.61,8.61,8.6
002276.OF,14.79,14.78,14.81
002282.OF,7.09,7.09,7.08
002331.OF,5.89,5.89,5.9
002351.OF,4.73,4.73,4.72
002358.OF,9.23,9.23,9.26
002361.OF,3.89,3.89,3.9
002363.OF,4.85,4.85,4.86
002388.OF,15.36,15.36,15.36
002389.OF,7.69,7.69,7.63
002405.OF,5.51,5.52,5.56
002411.OF,4.22,4.22,4.22
002413.OF,3.87,3.87,3.95
002430.OF,7.82,7.81,7.81
002434.OF,9.08,9.08,9.14
002455.OF,6.56,6.56,6.89
002456.OF,6.06,6.06,6.04
002458.OF,4.83,4.83,4.79
002459.OF,7.09,7.09,7.02
002461.OF,5.05,5.05,5.13
002474.OF,8.62,8.62,8.69
002475.OF,5.11,5.1,5.49
002489.OF,6.23,6.23,6.16
002490.OF,6.25,6.25,6.23
002498.OF,5.26,5.26,5.19
002501.OF,4.95,4.95,5.13
002502.OF,4.23,4.23,4.32
002514.OF,6.6,6.6,6.61
002518.OF,15.1,15.1,15.2
002521.OF,4.52,4.52,4.53
002535.OF,7.42,7.42,7.56
002574.OF,6.48,6.48,6.51
002586.OF,12.3,12.3,12.36
002600.OF,5.02,5.02,5.05
002602.OF,6.91,6.91,6.9
002612.OF,7.61,7.61,7.74
002614.OF,11.65,11.65,11.66
002616.OF,10.17,10.16,10.21
002618.OF,5.85,5.84,5.92
002622.OF,11.05,11.05,11.03
002636.OF,9.97,9.97,10.05
002639.OF,8.17,8.17,8.48
002644.OF,10.28,10.28,10.09
002651.OF,3.69,3.69,3.68
002657.OF,5.76,5.76,5.74
002664.OF,8.55,8.55,8.58
002690.OF,9.33,9.32,9.3
002701.OF,3.93,3.93,3.93
002711.OF,7.29,7.29,7.28
002714.OF,7.7,7.7,7.77
002720.OF,6.53,6.53,6.38
002723.OF,5.49,5.49,5.51
002728.OF,4.2,4.2,4.24
002734.OF,4.31,4.31,4.31
002738.OF,3.92,3.93,3.93
002749.OF,10.21,10.21,10.25
002767.OF,3.08,3.08,3.11
002776.OF,7.35,7.35,7.3
002783.OF,3.87,3.88,3.98
002792.OF,4.3,4.3,4.28
002796.OF,5.54,5.54,5.54
002813.OF,7.69,7.69,7.72
002819.OF,4.6,4.6,4.57
002826.OF,8.98,8.98,9.0
002838.OF,15.27,15.27,15.26
002901.OF,5.23,5.23,5.25
002908.OF,8.78,8.76,8.78
002925.OF,7.8,7.79,7.8
002932.OF,5.73,5.73,5.39
002934.OF,4.52,4.52,4.47
002946.OF,7.81,7.82,7.78
002961.OF,3.85,3.86,3.92
002969.OF,5.43,5.43,5.43
002971.OF,9.19,9.19,9.22
002985.OF,13.97,13.97,13.96
002986.OF,4.97,4.97,4.96
003026.OF,12.67,12.66,12.68
003028.OF,7.42,7.42,6.93
003030.OF,4.31,4.32,4.34
003037.OF,7.77,7.77,7.77
003044.OF,2.88,2.88,2.93
003062.OF,8.16,8.16,8.2
003105.OF,8.08,8.08,8.1
003107.OF,5.66,5.66,5.62
003109.OF,4.24,4.24,4.24
003115.OF,8.2,8.2,8.27
003117.OF,7.37,7.36,7.41
003123.OF,16.22,16.22,16.23
003133.OF,6.31,6.32,6.49
003135.OF,4.25,4.25,4.28
003142.OF,4.99,4.99,5.0
003154.OF,7.84,7.84,7.81
003161.OF,4.25,4.25,4.24
003167.OF,5.21,5.21,5.26
003176.OF,8.36,8.36,8.39
003182.OF,6.96,6.96,6.97
003186.OF,8.62,8.62,8.93
003187.OF,6.43,6.43,6.43
003218.OF,7.51,7.52,7.5
003221.OF,14.78,14.78,14.82
003234.OF,4.89,4.89,4.9
003275.OF,3.98,3.98,3.96
003282.OF,2.27,2.27,2.33
003295.OF,4.04,4.05,4.02
003301.OF,7.03,7.03,7.05
003331.OF,8.21,8.21,8.2
003336.OF,5.68,5.68,5.63
003341.OF,10.29,10.29,10.31
003343.OF,4.55,4.55,4.55
003345.OF,7.29,7.3,7.26
003360.OF,5.17,5.17,5.28
003379.OF,4.11,4.11,4.12
003432.OF,4.36,4.36,4.37
003476.OF,4.59,4.59,4.58
003484.OF,6.21,6.21,6.25
003493.OF,3.79,3.79,4.02
003495.OF,7.68,7.69,7.59
003502.OF,11.81,11.81,11.78
003504.OF,11.72,11.71,11.71
003591.OF,7.1,7.1,7.09
003603.OF,7.65,7.65,7.62
003612.OF,8.55,8.55,8.54
003626.OF,17.13,17.13,17.11
003628.OF,6.43,6.44,6.46
003637.OF,8.66,8.66,8.65
003663.OF,8.6,8.6,8.3
003680.OF,8.45,8.43,8.52
003692.OF,4.37,4.38,4.45
003704.OF,10.23,10.23,10.16
003734.OF,9.99,9.99,10.0
003754.OF,6.41,6.41,6.37
003780.OF,11.73,11.73,11.75
003799.OF,6.47,6.46,6.75
003805.OF,6.06,6.06,6.04
003813.OF,6.17,6.17,6.22
003828.OF,7.78,7.78,7.94
003839.OF,7.53,7.53,7.53
003842.OF,6.91,6.91,6.93
003848.OF,5.62,5.62,5.68
003850.OF,9.16,9.16,9.16
003854.OF,10.56,10.57,10.54
003861.OF,5.03,5.03,4.82
003877.OF,11.73,11.72,11.73
003882.OF,7.6,7.59,7.58
003900.OF,6.34,6.34,6.35
003950.OF,6.14,6.15,6.15
003966.OF,7.53,7.54,7.54
004005.OF,16.05,16.05,15.99
004010.OF,7.05,7.05,7.04
004024.OF,5.54,5.54,5.53
004025.OF,10.9,10.9,10.88
004081.OF,12.29,12.29,12.37
004083.OF,6.8,6.8,6.89
004093.OF,9.49,9.49,9.42
004100.OF,5.74,5.74,5.77
004129.OF,6.32,6.32,6.29
004131.OF,11.19,11.18,11.13
004149.OF,5.41,5.41,5.43
004153.OF,4.83,4.83,4.84
004157.OF,9.08,9.08,9.08
004175.OF,7.67,7.68,7.67
004202.OF,5.6,5.6,5.62
004206.OF,10.71,10.71,10.76
004218.OF,10.22,10.22,10.18
004225.OF,10.26,10.26,10.26
004258.OF,4.04,4.04,4.07
004265.OF,10.66,10.66,10.72
004270.OF,16.08,16.08,16.63
004274.OF,9.26,9.26,9.32
004276.OF,8.64,8.64,8.58
004278.OF,3.29,3.29,3.43
004279.OF,5.87,5.86,5.84
004301.OF,5.91,5.91,6.19
004318.OF,8.43,8.43,8.41
004340.OF,3.65,3.65,3.62
004353.OF,12.97,12.97,12.98
004361.OF,9.66,9.65,9.67
004405.OF,5.92,5.91,5.93
004413.OF,7.67,7.66,7.68
004427.OF,12.96,12.96,12.94
004436.OF,9.6,9.6,9.6
004442.OF,6.3,6.3,6.33
004446.OF,8.16,8.16,8.19
004457.OF,9.64,9.63,9.67
004486.OF,6.98,6.97,6.99
004503.OF,4.93,4.93,4.94
004517.OF,3.76,3.76,3.75
004571.OF,6.41,6.41,6.42
004585.OF,4.8,4.79,4.8
004607.OF,15.28,15.28,15.26
004608.OF,9.36,9.36,9.39
004612.OF,5.98,5.98,6.01
004617.OF,10.15,10.15,10.14
004647.OF,21.49,21.49,21.47
004648.OF,4.45,4.45,4.46
