code,std1,std3,std4,std8,,,,,
000045.OF,5.70048929,5.255965912,5.698670686,5.426273413,,,,,
000047.OF,6.934939938,6.547599385,6.933236969,6.788403045,,,,,
000054.OF,9.152828852,9.489403346,9.155572034,8.957134461,,,,,
000065.OF,7.16421628,6.999613427,7.168926515,6.912993693,,,,,
000072.OF,11.74951456,11.92018926,11.74423969,11.90715074,,,,,
000107.OF,3.750430645,3.402325284,3.748608482,3.58596905,,,,,
000110.OF,11.01558861,8.30237163,11.02379203,7.676377667,,,,,
000118.OF,7.168055043,5.946574731,7.168985943,6.296722215,,,,,
000121.OF,7.298554766,7.062194485,7.306983261,7.049559491,,,,,
000130.OF,11.33142038,12.20259638,11.3359271,11.44829768,,,,,
000142.OF,10.90374004,10.05983836,10.88408068,10.49835538,,,,,
000143.OF,3.343783531,2.911677315,3.353122144,3.372308038,,,,,
000149.OF,3.986306642,4.070320938,3.988641404,4.05267922,,,,,
000171.OF,5.234967907,5.171188207,5.363876305,5.505283486,,,,,
000181.OF,13.91565392,13.28758812,13.90725684,13.93895868,,,,,
000189.OF,7.5789493,7.283075174,7.580403628,7.345070751,,,,,
000190.OF,3.89369047,3.525685119,3.892755014,3.420160325,,,,,
000195.OF,6.231815769,6.387298047,6.232143024,6.613217496,,,,,
000207.OF,21.43249236,20.19443164,21.43335284,21.01006875,,,,,
000215.OF,1.865222128,2.031555719,1.864341832,1.956866439,,,,,
000227.OF,8.072100828,7.604973973,8.074437894,8.152902027,,,,,
000236.OF,6.662758981,6.007605541,6.658540069,6.34850677,,,,,
000239.OF,8.243016023,7.088887848,8.242101133,7.590873479,,,,,
000244.OF,11.0167615,11.1665893,11.05133892,11.12520313,,,,,
000254.OF,19.02197154,14.18127413,19.04856639,16.45024462,,,,,
000310.OF,14.96714565,14.40410605,14.97038182,14.64595923,,,,,
000314.OF,6.114917122,6.61612685,6.110879715,6.561083138,,,,,
000338.OF,2.534931346,2.629106143,2.753508167,2.871672644,,,,,
000367.OF,8.328715688,6.886798703,8.332877252,7.469668912,,,,,
000377.OF,6.177539518,6.556108427,6.173729159,6.305140027,,,,,
000385.OF,5.209747008,4.91719569,5.203979752,4.553074624,,,,,
000406.OF,7.110716559,7.00181827,7.104865077,7.31040347,,,,,
000436.OF,4.525496207,4.463086489,4.524769408,4.49503781,,,,,
000463.OF,5.485770596,5.628901211,5.490691273,5.805028137,,,,,
000507.OF,6.164003011,5.622538315,6.161241458,5.802458026,,,,,
000511.OF,5.579705388,5.931451684,5.595162619,5.464371604,,,,,
000526.OF,4.244246219,4.20174048,4.264051634,4.178894934,,,,,
000546.OF,6.039150164,5.052174785,6.039118238,5.870427089,,,,,
000572.OF,5.118210606,4.577805574,5.110487165,4.711826414,,,,,
000583.OF,10.93003188,9.897303722,10.92904934,10.34295176,,,,,
000590.OF,9.86243782,9.79436844,9.852830338,9.41658196,,,,,
000597.OF,6.589779109,6.721625392,6.598036772,7.127916827,,,,,
000639.OF,14.0127532,13.25962429,14.00402815,13.7320767,,,,,
000664.OF,13.34175403,13.27360119,13.33716131,13.56423179,,,,,
000744.OF,24.19596458,22.6723779,24.19387361,22.77381778,,,,,
000804.OF,8.627559485,7.703288935,8.610302875,9.186715708,,,,,
000875.OF,7.952836618,7.950739869,7.954560973,7.691098099,,,,,
000894.OF,5.283433171,4.980608757,5.290287011,5.224065251,,,,,
000896.OF,12.93965282,13.30464864,12.93442583,13.08014541,,,,,
000932.OF,11.90714404,11.97862817,11.89989939,12.04033227,,,,,
000953.OF,5.581130681,5.942113285,5.591758408,5.34985289,,,,,
000973.OF,5.526837299,5.567868717,5.528806937,5.630349688,,,,,
001001.OF,8.387956963,8.237715053,8.388750617,8.167903064,,,,,
001011.OF,5.637279152,5.539393109,5.632757507,5.617353196,,,,,
001019.OF,7.358962705,6.861882939,7.35870136,7.488342195,,,,,
001035.OF,2.955911622,3.321302251,2.956557819,3.230514251,,,,,
001067.OF,4.405152831,4.502125464,4.407651783,4.514100262,,,,,
001110.OF,10.17009611,9.741804972,10.16344062,10.09764356,,,,,
001115.OF,8.306802106,8.131605208,8.308652771,7.931313425,,,,,
001122.OF,3.892161291,3.687079365,3.888261807,3.663519015,,,,,
001136.OF,5.312697926,5.106550261,5.310636606,5.241314001,,,,,
001139.OF,14.33042639,14.18047312,14.3194659,14.26185858,,,,,
001146.OF,11.76992607,11.81023972,11.76576058,11.6265057,,,,,
001157.OF,6.833818711,6.917704969,6.831699926,6.903168188,,,,,
001164.OF,6.841115606,6.616744048,6.84120689,6.827363149,,,,,
001172.OF,6.594530321,6.170617376,6.584227811,6.291836806,,,,,
001182.OF,6.913563905,7.838352129,6.916294188,7.930803351,,,,,
001183.OF,2.680748743,3.495475904,2.693805734,3.3551104,,,,,
001189.OF,4.057350188,3.28913385,4.062556294,3.45557148,,,,,
001190.OF,8.588677357,6.762079319,8.582936306,7.746880352,,,,,
001194.OF,3.376465831,3.60714873,3.371230682,3.508077104,,,,,
001196.OF,12.96698313,11.94902298,12.97138909,12.67877819,,,,,
001199.OF,12.19843077,13.24184163,12.21321041,12.85488813,,,,,
001201.OF,6.047997985,5.673314665,6.045911964,5.754190322,,,,,
001202.OF,3.784671204,3.472953227,3.782956574,3.6340018,,,,,
001203.OF,4.751223772,4.16818183,4.751673285,4.398717429,,,,,
001228.OF,12.38457574,12.46229339,12.38804759,12.63130483,,,,,
001235.OF,5.037874361,4.659377278,5.040429434,5.049404621,,,,,
001249.OF,4.347212651,4.447776885,4.350421341,4.380580286,,,,,
001257.OF,7.046560588,7.124699145,7.048554718,7.046957001,,,,,
001265.OF,9.085250884,7.9504562,9.091444312,8.240663977,,,,,
001282.OF,11.18641655,11.46863136,11.19310011,11.15860035,,,,,
001285.OF,3.370142312,3.543365798,3.374226656,3.475223703,,,,,
001289.OF,6.817963877,6.863188162,6.81795549,6.782294969,,,,,
001309.OF,5.387063546,5.335695746,5.386123809,5.627320603,,,,,
001311.OF,15.91102312,15.06432358,15.90798148,15.9693618,,,,,
001312.OF,5.493322312,5.313874569,5.500847663,5.129296256,,,,,
001314.OF,5.034140178,4.523201457,5.048737836,4.513733428,,,,,
001316.OF,8.630945118,8.195969943,8.626848419,8.585480797,,,,,
001324.OF,7.670573567,7.28194506,7.669423601,7.645701478,,,,,
001329.OF,5.130907201,5.043110083,5.126272143,4.752668412,,,,,
001331.OF,6.682519865,7.185136495,6.679856554,6.718489613,,,,,
001334.OF,3.879672871,3.636865998,3.878655084,3.537716807,,,,,
001335.OF,7.671518283,7.506781581,7.663348446,7.743599041,,,,,
001336.OF,6.85333036,6.758768964,6.858593339,6.426399078,,,,,
001342.OF,4.404817003,4.740998087,4.407320484,4.475412751,,,,,
